key;ptBR;enUS
Beeeeeth_relief;Glória a Deux;Thank you Lord
Beeeeeth_grief;Você matou o meu bebêêêêê;you killed my baaaaaby
Beeeeeth_kinship;sua avó;your grandma
Beeeeella_greating;Olá;Hello
Beeeeella_dumb;Eu amo Golf;I love golf.
Beeeeella_fear;A atmosfera parece pesada;The atmosphere fells so heavy
Beeeeella_gossip;Isso não é legal;That is not nice at all
Beeeeella_relief;Poderia ter sido pior;Could have been worse
Beeeeella_grief;Tem um buraco no meu coração;I have a hole in my heart
Beeeeella_kinship;sua prima;your cousin
All_Positive_0;Sim!;Yes!
All_Positive_1;Yeah!;Yeah!
All_Positive_2;Sim Senhora;Yaaaas Queen!
All_Positive_3;Sempre juntos;4ever
All_Positive_4;Brigado;Thanks
All_Positive_5;Pode apostar;You bet
All_Positive_6;OK;OK
All_Positive_7;Claro querida;Sure honey
All_Positive_8;Certamente;Okay
All_Positive_9;Okie dokie;Okie dokie
All_Positive_10;Tudo certo;Alright
All_Positive_11;yup;yup
All_Positive_12;Beibeibeibei;BaAaAaAa
All_Positive_13;Você é Mééééédonho;"You are the ""baaaaast!"""
All_Negative_0;Wow;Wow
All_Negative_1;$#@%$!;$#@%$!
All_Negative_2;Mata ele;Kill him!
All_Negative_3;Ai!;Ouch!
All_Negative_4;Auuuu!;WOOOLF!
All_Negative_5;Ai! Minha bunda;Ouch! My butt!
All_Negative_6;Droga;Daaam
All_Negative_7;Nem pensar;Hell no!
All_Negative_8;Sai daqui;Get out
All_Negative_9;Sai fora;Bugger off
All_Negative_10;Agorar não;Not now
All_Negative_11;nahhh;nahhh
All_Tretas_1;Vingança;Revange!
All_Tretas_2;Nunca mais falo um Mééééé se você de novo;Will never say a baaaa abaaaaout me again
All_Tretas_3;Ovelha má;Baaaad sheeep!
All_Tretas_4;Você mereceu!;You deserved!
All_Tretas_5;Toma isso;Take that.
All_Tretas_6;Se afasta;baaaaaaack off!
All_Tretas_7;Sinto muito. #NãoSintoNão;Sorry! #NotSorry
All_Tretas_8;Tchau jantar de lobo;Bye wolf dinner.
All_Tretas_9;Isso foi por falar de mim pelas minhas costas;That was for talking behind my baaaaack.
All_Tretas_10;Desgraçado;Baaaaastard
All_Tretas_11;Alguns estariam arrependidos. Eu não.;"Some would be sorry. I'm not."
